id_grupo;data_assembleia;tipo_lance;percentual_lance;valor_lance;qtd_contemplados
2;2023-09-15;Lance Livre;51.38;29543.50;3
2;2023-09-15;Lance Embutido;53.85;30963.75;4
2;2023-09-15;Lance Fixo;30;17250.00;1
2;2023-10-15;Lance Livre;53.15;30561.25;3
2;2023-10-15;Lance Embutido;49.42;28416.50;4
2;2023-10-15;Lance Fixo;30;17250.00;1
2;2023-11-15;Lance Livre;58.28;33511.00;4
2;2023-11-15;Lance Embutido;55.12;31694.00;2
2;2023-11-15;Lance Fixo;30;17250.00;1
2;2023-12-15;Lance Livre;59.88;34431.00;3
2;2023-12-15;Lance Embutido;49.37;28387.75;4
2;2023-12-15;Lance Fixo;30;17250.00;1
2;2024-01-15;Lance Livre;54.54;31360.50;4
2;2024-01-15;Lance Embutido;50.44;29003.00;3
2;2024-01-15;Lance Fixo;30;17250.00;2
2;2024-02-15;Lance Livre;59.51;34218.25;2
2;2024-02-15;Lance Embutido;49.58;28508.50;5
2;2024-02-15;Lance Fixo;30;17250.00;1
2;2024-03-15;Lance Livre;51.55;29641.25;3
2;2024-03-15;Lance Embutido;49.75;28606.25;4
2;2024-03-15;Lance Fixo;30;17250.00;1
2;2024-04-15;Lance Livre;51.33;29514.75;5
2;2024-04-15;Lance Embutido;56.33;32389.75;5
2;2024-04-15;Lance Fixo;30;17250.00;1
2;2024-05-15;Lance Livre;56.69;37486.26;5
2;2024-05-15;Lance Embutido;54.71;36176.99;2
2;2024-05-15;Lance Fixo;30;19837.50;1
2;2024-06-15;Lance Livre;57.6;38088.00;3
2;2024-06-15;Lance Embutido;48.96;32374.80;4
2;2024-06-15;Lance Fixo;30;19837.50;1
2;2024-07-15;Lance Livre;49.82;32943.47;3
2;2024-07-15;Lance Embutido;52.66;34821.42;4
2;2024-07-15;Lance Fixo;30;19837.50;2
2;2024-08-15;Lance Livre;48.96;32374.80;3
2;2024-08-15;Lance Embutido;50.64;33485.70;2
2;2024-08-15;Lance Fixo;30;19837.50;2
2;2024-09-15;Lance Livre;50.69;33518.76;4
2;2024-09-15;Lance Embutido;53.89;35634.76;3
2;2024-09-15;Lance Fixo;30;19837.50;3
2;2024-10-15;Lance Livre;60;39675.00;4
2;2024-10-15;Lance Embutido;56.3;37228.37;4
2;2024-10-15;Lance Fixo;30;19837.50;2
2;2024-11-15;Lance Livre;54.24;35866.20;4
2;2024-11-15;Lance Embutido;58.88;38934.40;3
2;2024-11-15;Lance Fixo;30;19837.50;1
2;2024-12-15;Lance Livre;51.17;33836.16;4
2;2024-12-15;Lance Embutido;56.88;37611.90;5
2;2024-12-15;Lance Fixo;30;19837.50;3
2;2025-01-15;Lance Livre;50.97;33703.91;4
2;2025-01-15;Lance Embutido;52.45;34682.56;4
2;2025-01-15;Lance Fixo;30;19837.50;2
2;2025-02-15;Lance Livre;52.74;34874.32;2
2;2025-02-15;Lance Embutido;57.65;38121.06;2
2;2025-02-15;Lance Fixo;30;19837.50;2
2;2025-03-15;Lance Livre;51.84;34279.20;2
2;2025-03-15;Lance Embutido;55.62;36778.72;4
2;2025-03-15;Lance Fixo;30;19837.50;1
2;2025-04-15;Lance Livre;48.97;32381.41;2
2;2025-04-15;Lance Embutido;57.24;37849.95;3
2;2025-04-15;Lance Fixo;30;19837.50;1
2;2025-05-15;Lance Livre;55.8;42432.41;5
2;2025-05-15;Lance Embutido;48.66;37002.89;4
2;2025-05-15;Lance Fixo;30;22813.12;2
2;2025-06-15;Lance Livre;56.66;43086.39;5
2;2025-06-15;Lance Embutido;48.17;36630.27;3
2;2025-06-15;Lance Fixo;30;22813.12;2
2;2025-07-15;Lance Livre;55.36;42097.82;2
2;2025-07-15;Lance Embutido;54.04;41094.04;3
2;2025-07-15;Lance Fixo;30;22813.12;1
2;2025-08-15;Lance Livre;49.23;37436.34;5
2;2025-08-15;Lance Embutido;56.79;43185.25;4
2;2025-08-15;Lance Fixo;30;22813.12;3
2;2025-09-15;Lance Livre;59.59;45314.47;5
2;2025-09-15;Lance Embutido;53.14;40409.65;4
2;2025-09-15;Lance Fixo;30;22813.12;3
3;2022-06-15;Lance Livre;79.42;39710.00;1
3;2022-06-15;Lance Embutido;81.45;40725.00;1
3;2022-06-15;Lance Fixo;30;15000.00;1
3;2022-07-15;Lance Livre;75;37500.00;1
3;2022-07-15;Lance Embutido;84.79;42395.00;1
3;2022-07-15;Lance Fixo;30;15000.00;1
3;2022-08-15;Lance Livre;81.45;40725.00;1
3;2022-08-15;Lance Embutido;78.86;39430.00;1
3;2022-08-15;Lance Fixo;30;15000.00;1
3;2022-09-15;Lance Livre;64.37;32185.00;3
3;2022-09-15;Lance Embutido;68.74;34370.00;1
3;2022-09-15;Lance Fixo;30;15000.00;3
3;2022-10-15;Lance Livre;71.38;35690.00;3
3;2022-10-15;Lance Embutido;62;31000.00;1
3;2022-10-15;Lance Fixo;30;15000.00;3
3;2022-11-15;Lance Livre;73.77;36885.00;2
3;2022-11-15;Lance Embutido;59.83;29915.00;1
3;2022-11-15;Lance Fixo;30;15000.00;3
3;2022-12-15;Lance Livre;70.78;35390.00;1
3;2022-12-15;Lance Embutido;63.99;31995.00;1
3;2022-12-15;Lance Fixo;30;15000.00;3
3;2023-01-15;Lance Livre;71.72;35860.00;1
3;2023-01-15;Lance Embutido;69.14;34570.00;1
3;2023-01-15;Lance Fixo;30;15000.00;3
3;2023-02-15;Lance Livre;66.46;33230.00;1
3;2023-02-15;Lance Embutido;63.03;31515.00;1
3;2023-02-15;Lance Fixo;30;15000.00;3
3;2023-03-15;Lance Livre;64.9;32450.00;3
3;2023-03-15;Lance Embutido;59.84;29920.00;3
3;2023-03-15;Lance Fixo;30;15000.00;2
3;2023-04-15;Lance Livre;57.27;28635.00;2
3;2023-04-15;Lance Embutido;67.77;33885.00;3
3;2023-04-15;Lance Fixo;30;15000.00;1
3;2023-05-15;Lance Livre;64.97;37357.75;1
3;2023-05-15;Lance Embutido;63.9;36742.50;1
3;2023-05-15;Lance Fixo;30;17250.00;1
3;2023-06-15;Lance Livre;57.9;33292.50;4
3;2023-06-15;Lance Embutido;51.19;29434.25;2
3;2023-06-15;Lance Fixo;30;17250.00;3
3;2023-07-15;Lance Livre;52.25;30043.75;2
3;2023-07-15;Lance Embutido;49.39;28399.25;2
3;2023-07-15;Lance Fixo;30;17250.00;2
3;2023-08-15;Lance Livre;54.32;31234.00;5
3;2023-08-15;Lance Embutido;56.09;32251.75;5
3;2023-08-15;Lance Fixo;30;17250.00;3
3;2023-09-15;Lance Livre;48.4;27830.00;4
3;2023-09-15;Lance Embutido;49.92;28704.00;2
3;2023-09-15;Lance Fixo;30;17250.00;1
3;2023-10-15;Lance Livre;49.46;28439.50;4
3;2023-10-15;Lance Embutido;55.26;31774.50;4
3;2023-10-15;Lance Fixo;30;17250.00;3
3;2023-11-15;Lance Livre;49.91;28698.25;5
3;2023-11-15;Lance Embutido;52.68;30291.00;5
3;2023-11-15;Lance Fixo;30;17250.00;1
3;2023-12-15;Lance Livre;53.77;30917.75;5
3;2023-12-15;Lance Embutido;49.6;28520.00;3
3;2023-12-15;Lance Fixo;30;17250.00;2
3;2024-01-15;Lance Livre;59.46;34189.50;5
3;2024-01-15;Lance Embutido;50.12;28819.00;5
3;2024-01-15;Lance Fixo;30;17250.00;2
3;2024-02-15;Lance Livre;48.01;27605.75;3
3;2024-02-15;Lance Embutido;49.74;28600.50;4
3;2024-02-15;Lance Fixo;30;17250.00;2
3;2024-03-15;Lance Livre;57.73;33194.75;2
3;2024-03-15;Lance Embutido;50.46;29014.50;5
3;2024-03-15;Lance Fixo;30;17250.00;1
3;2024-04-15;Lance Livre;55.69;32021.75;5
3;2024-04-15;Lance Embutido;51.05;29353.75;5
3;2024-04-15;Lance Fixo;30;17250.00;1
3;2024-05-15;Lance Livre;52.53;34735.46;5
3;2024-05-15;Lance Embutido;53.57;35423.16;4
3;2024-05-15;Lance Fixo;30;19837.50;1
3;2024-06-15;Lance Livre;51.6;34120.50;5
3;2024-06-15;Lance Embutido;58.51;38689.74;5
3;2024-06-15;Lance Fixo;30;19837.50;2
3;2024-07-15;Lance Livre;56.12;37109.35;2
3;2024-07-15;Lance Embutido;49.85;32963.31;4
3;2024-07-15;Lance Fixo;30;19837.50;1
3;2024-08-15;Lance Livre;54.18;35826.52;5
3;2024-08-15;Lance Embutido;49.7;32864.12;2
3;2024-08-15;Lance Fixo;30;19837.50;1
3;2024-09-15;Lance Livre;56;37030.00;2
3;2024-09-15;Lance Embutido;50.2;33194.75;4
3;2024-09-15;Lance Fixo;30;19837.50;1
3;2024-10-15;Lance Livre;49.7;32864.12;4
3;2024-10-15;Lance Embutido;51.77;34232.91;3
3;2024-10-15;Lance Fixo;30;19837.50;2
3;2024-11-15;Lance Livre;49.53;32751.71;5
3;2024-11-15;Lance Embutido;54.15;35806.69;5
3;2024-11-15;Lance Fixo;30;19837.50;2
3;2024-12-15;Lance Livre;57.51;38028.49;2
3;2024-12-15;Lance Embutido;54.62;36117.47;3
3;2024-12-15;Lance Fixo;30;19837.50;1
3;2025-01-15;Lance Livre;58.95;38980.69;2
3;2025-01-15;Lance Embutido;56.4;37294.50;5
3;2025-01-15;Lance Fixo;30;19837.50;1
3;2025-02-15;Lance Livre;53.51;35383.49;5
3;2025-02-15;Lance Embutido;58.63;38769.09;3
3;2025-02-15;Lance Fixo;30;19837.50;2
3;2025-03-15;Lance Livre;59.17;39126.16;4
3;2025-03-15;Lance Embutido;51.67;34166.79;4
3;2025-03-15;Lance Fixo;30;19837.50;2
3;2025-04-15;Lance Livre;51.77;34232.91;4
3;2025-04-15;Lance Embutido;55.71;36838.24;4
3;2025-04-15;Lance Fixo;30;19837.50;2
3;2025-05-15;Lance Livre;52.25;39732.86;5
3;2025-05-15;Lance Embutido;54.86;41717.60;2
3;2025-05-15;Lance Fixo;30;22813.12;1
3;2025-06-15;Lance Livre;56.14;42690.96;5
3;2025-06-15;Lance Embutido;52.56;39968.59;4
3;2025-06-15;Lance Fixo;30;22813.12;2
3;2025-07-15;Lance Livre;52.97;40280.37;4
3;2025-07-15;Lance Embutido;51.26;38980.03;2
3;2025-07-15;Lance Fixo;30;22813.12;2
3;2025-08-15;Lance Livre;54.83;41694.79;5
3;2025-08-15;Lance Embutido;59.28;45078.73;3
3;2025-08-15;Lance Fixo;30;22813.12;3
3;2025-09-15;Lance Livre;56.48;42949.51;3
3;2025-09-15;Lance Embutido;59.25;45055.92;2
3;2025-09-15;Lance Fixo;30;22813.12;1
4;2023-08-15;Lance Livre;86.04;43020.00;1
4;2023-08-15;Lance Embutido;75.53;37765.00;1
4;2023-08-15;Lance Fixo;30;15000.00;1
4;2023-09-15;Lance Livre;87.83;43915.00;1
4;2023-09-15;Lance Embutido;93.32;46660.00;1
4;2023-09-15;Lance Fixo;30;15000.00;1
4;2023-10-15;Lance Livre;78.21;39105.00;1
4;2023-10-15;Lance Embutido;88.73;44365.00;1
4;2023-10-15;Lance Fixo;30;15000.00;1
4;2023-11-15;Lance Livre;58.41;29205.00;3
4;2023-11-15;Lance Embutido;63.5;31750.00;2
4;2023-11-15;Lance Fixo;30;15000.00;3
4;2023-12-15;Lance Livre;55.78;27890.00;2
4;2023-12-15;Lance Embutido;65.71;32855.00;3
4;2023-12-15;Lance Fixo;30;15000.00;1
4;2024-01-15;Lance Livre;72.83;36415.00;3
4;2024-01-15;Lance Embutido;61.68;30840.00;3
4;2024-01-15;Lance Fixo;30;15000.00;3
4;2024-02-15;Lance Livre;64.7;32350.00;3
4;2024-02-15;Lance Embutido;73.31;36655.00;3
4;2024-02-15;Lance Fixo;30;15000.00;3
4;2024-03-15;Lance Livre;74.97;37485.00;3
4;2024-03-15;Lance Embutido;70.6;35300.00;2
4;2024-03-15;Lance Fixo;30;15000.00;2
4;2024-04-15;Lance Livre;55.65;27825.00;2
4;2024-04-15;Lance Embutido;74.23;37115.00;3
4;2024-04-15;Lance Fixo;30;15000.00;3
4;2024-05-15;Lance Livre;74.26;37130.00;3
4;2024-05-15;Lance Embutido;65.43;32715.00;1
4;2024-05-15;Lance Fixo;30;15000.00;2
4;2024-06-15;Lance Livre;58.03;29015.00;2
4;2024-06-15;Lance Embutido;71.21;35605.00;3
4;2024-06-15;Lance Fixo;30;15000.00;1
4;2024-07-15;Lance Livre;57.95;33321.25;3
4;2024-07-15;Lance Embutido;70.83;40727.25;3
4;2024-07-15;Lance Fixo;30;17250.00;3
4;2024-08-15;Lance Livre;49.06;28209.50;5
4;2024-08-15;Lance Embutido;53.73;30894.75;5
4;2024-08-15;Lance Fixo;30;17250.00;1
4;2024-09-15;Lance Livre;51.28;29486.00;2
4;2024-09-15;Lance Embutido;54.03;31067.25;5
4;2024-09-15;Lance Fixo;30;17250.00;2
4;2024-10-15;Lance Livre;57.27;32930.25;4
4;2024-10-15;Lance Embutido;55.95;32171.25;2
4;2024-10-15;Lance Fixo;30;17250.00;3
4;2024-11-15;Lance Livre;48.72;28014.00;2
4;2024-11-15;Lance Embutido;50.21;28870.75;3
4;2024-11-15;Lance Fixo;30;17250.00;3
4;2024-12-15;Lance Livre;53.43;30722.25;2
4;2024-12-15;Lance Embutido;55.89;32136.75;4
4;2024-12-15;Lance Fixo;30;17250.00;1
4;2025-01-15;Lance Livre;53.6;30820.00;4
4;2025-01-15;Lance Embutido;50.38;28968.50;2
4;2025-01-15;Lance Fixo;30;17250.00;1
4;2025-02-15;Lance Livre;50.99;29319.25;3
4;2025-02-15;Lance Embutido;57.7;33177.50;4
4;2025-02-15;Lance Fixo;30;17250.00;1
4;2025-03-15;Lance Livre;53.57;30802.75;2
4;2025-03-15;Lance Embutido;56.88;32706.00;3
4;2025-03-15;Lance Fixo;30;17250.00;1
4;2025-04-15;Lance Livre;52.25;30043.75;2
4;2025-04-15;Lance Embutido;58.42;33591.50;3
4;2025-04-15;Lance Fixo;30;17250.00;2
4;2025-05-15;Lance Livre;52.01;29905.75;2
4;2025-05-15;Lance Embutido;50.52;29049.00;3
4;2025-05-15;Lance Fixo;30;17250.00;1
4;2025-06-15;Lance Livre;56.95;32746.25;3
4;2025-06-15;Lance Embutido;53.17;30572.75;2
4;2025-06-15;Lance Fixo;30;17250.00;1
4;2025-07-15;Lance Livre;55.69;36825.01;3
4;2025-07-15;Lance Embutido;57.21;37830.11;4
4;2025-07-15;Lance Fixo;30;19837.50;3
4;2025-08-15;Lance Livre;56.15;37129.19;5
4;2025-08-15;Lance Embutido;49.04;32427.70;4
4;2025-08-15;Lance Fixo;30;19837.50;2
4;2025-09-15;Lance Livre;53.77;35555.41;3
4;2025-09-15;Lance Embutido;51.4;33988.25;5
4;2025-09-15;Lance Fixo;30;19837.50;3
5;2023-08-15;Lance Livre;76.22;38110.00;1
5;2023-08-15;Lance Embutido;90.8;45400.00;1
5;2023-08-15;Lance Fixo;30;15000.00;1
5;2023-09-15;Lance Livre;83.08;41540.00;1
5;2023-09-15;Lance Embutido;84.89;42445.00;1
5;2023-09-15;Lance Fixo;30;15000.00;1
5;2023-10-15;Lance Livre;91.16;45580.00;1
5;2023-10-15;Lance Embutido;88.59;44295.00;1
5;2023-10-15;Lance Fixo;30;15000.00;1
5;2023-11-15;Lance Livre;63.64;31820.00;2
5;2023-11-15;Lance Embutido;60.15;30075.00;1
5;2023-11-15;Lance Fixo;30;15000.00;1
5;2023-12-15;Lance Livre;70.04;35020.00;1
5;2023-12-15;Lance Embutido;64.88;32440.00;2
5;2023-12-15;Lance Fixo;30;15000.00;2
5;2024-01-15;Lance Livre;73.97;36985.00;3
5;2024-01-15;Lance Embutido;54.03;27015.00;1
5;2024-01-15;Lance Fixo;30;15000.00;3
5;2024-02-15;Lance Livre;65.41;32705.00;3
5;2024-02-15;Lance Embutido;68.3;34150.00;1
5;2024-02-15;Lance Fixo;30;15000.00;1
5;2024-03-15;Lance Livre;64.48;32240.00;1
5;2024-03-15;Lance Embutido;72.22;36110.00;1
5;2024-03-15;Lance Fixo;30;15000.00;2
5;2024-04-15;Lance Livre;69.56;34780.00;1
5;2024-04-15;Lance Embutido;67.76;33880.00;2
5;2024-04-15;Lance Fixo;30;15000.00;2
5;2024-05-15;Lance Livre;59.4;29700.00;3
5;2024-05-15;Lance Embutido;73.54;36770.00;1
5;2024-05-15;Lance Fixo;30;15000.00;3
5;2024-06-15;Lance Livre;74.2;37100.00;2
5;2024-06-15;Lance Embutido;61.55;30775.00;2
5;2024-06-15;Lance Fixo;30;15000.00;2
5;2024-07-15;Lance Livre;66.57;38277.75;1
5;2024-07-15;Lance Embutido;55.75;32056.25;2
5;2024-07-15;Lance Fixo;30;17250.00;2
5;2024-08-15;Lance Livre;55.84;32108.00;4
5;2024-08-15;Lance Embutido;57.75;33206.25;2
5;2024-08-15;Lance Fixo;30;17250.00;1
5;2024-09-15;Lance Livre;56.04;32223.00;4
5;2024-09-15;Lance Embutido;58.67;33735.25;2
5;2024-09-15;Lance Fixo;30;17250.00;3
5;2024-10-15;Lance Livre;49.94;28715.50;4
5;2024-10-15;Lance Embutido;58.23;33482.25;5
5;2024-10-15;Lance Fixo;30;17250.00;3
5;2024-11-15;Lance Livre;56.74;32625.50;4
5;2024-11-15;Lance Embutido;54.72;31464.00;3
5;2024-11-15;Lance Fixo;30;17250.00;3
5;2024-12-15;Lance Livre;56.67;32585.25;5
5;2024-12-15;Lance Embutido;50.95;29296.25;3
5;2024-12-15;Lance Fixo;30;17250.00;3
5;2025-01-15;Lance Livre;58.51;33643.25;4
5;2025-01-15;Lance Embutido;57.22;32901.50;2
5;2025-01-15;Lance Fixo;30;17250.00;1
5;2025-02-15;Lance Livre;52.33;30089.75;4
5;2025-02-15;Lance Embutido;56.57;32527.75;2
5;2025-02-15;Lance Fixo;30;17250.00;1
5;2025-03-15;Lance Livre;56.21;32320.75;3
5;2025-03-15;Lance Embutido;58.14;33430.50;4
5;2025-03-15;Lance Fixo;30;17250.00;1
5;2025-04-15;Lance Livre;54.43;31297.25;5
5;2025-04-15;Lance Embutido;51.79;29779.25;4
5;2025-04-15;Lance Fixo;30;17250.00;3
5;2025-05-15;Lance Livre;49.64;28543.00;4
5;2025-05-15;Lance Embutido;52.05;29928.75;3
5;2025-05-15;Lance Fixo;30;17250.00;3
5;2025-06-15;Lance Livre;55.12;31694.00;4
5;2025-06-15;Lance Embutido;59.61;34275.75;5
5;2025-06-15;Lance Fixo;30;17250.00;3
5;2025-07-15;Lance Livre;52.47;34695.79;3
5;2025-07-15;Lance Embutido;50.3;33260.87;4
5;2025-07-15;Lance Fixo;30;19837.50;3
5;2025-08-15;Lance Livre;59.7;39476.62;5
5;2025-08-15;Lance Embutido;49.06;32440.92;5
5;2025-08-15;Lance Fixo;30;19837.50;3
5;2025-09-15;Lance Livre;48.09;31799.51;3
5;2025-09-15;Lance Embutido;49.83;32950.09;2
